"Date"﻿,"Annual change in house price, London (LHS)","Annual change in house price, United Kingdom (LHS)","Annual change in rents, London (RHS)","Annual change in rents, United Kingdom (RHS)"
01/04/2014,17.0%,7.7%,2.4%,
01/05/2014,18.7%,8.3%,2.2%,
01/06/2014,19.3%,8.4%,2.1%,
01/07/2014,19.7%,8.7%,2.1%,
01/08/2014,20.6%,9.1%,1.9%,
01/09/2014,18.6%,9.1%,2.0%,
01/10/2014,18.3%,9.4%,2.2%,
01/11/2014,16.6%,8.4%,2.1%,
01/12/2014,14.5%,7.7%,2.4%,
01/01/2015,13.2%,7.0%,2.8%,
01/02/2015,13.1%,6.7%,3.0%,
01/03/2015,12.0%,6.7%,3.2%,
01/04/2015,9.4%,5.3%,3.3%,
01/05/2015,8.7%,5.3%,3.7%,
01/06/2015,8.3%,5.2%,3.8%,
01/07/2015,8.3%,5.5%,3.7%,
01/08/2015,7.8%,5.2%,4.3%,
01/09/2015,8.9%,5.3%,4.1%,
01/10/2015,9.5%,5.6%,4.1%,
01/11/2015,11.1%,6.8%,4.1%,
01/12/2015,11.7%,6.9%,3.9%,
01/01/2016,13.6%,7.8%,3.9%,2.6%
01/02/2016,13.1%,7.7%,3.8%,2.6%
01/03/2016,14.8%,8.4%,3.7%,2.6%
01/04/2016,12.3%,7.9%,3.7%,2.6%
01/05/2016,12.4%,8.0%,3.3%,2.5%
01/06/2016,11.6%,8.2%,3.0%,2.4%
01/07/2016,10.2%,7.5%,3.0%,2.4%
01/08/2016,8.2%,6.5%,2.6%,2.3%
01/09/2016,7.3%,6.1%,2.7%,2.3%
01/10/2016,6.9%,5.6%,2.6%,2.3%
01/11/2016,5.7%,5.3%,2.4%,2.3%
01/12/2016,5.0%,5.2%,2.4%,2.3%
01/01/2017,4.0%,4.8%,2.1%,2.2%
01/02/2017,4.1%,4.9%,1.9%,2.1%
01/03/2017,2.3%,3.6%,1.6%,1.9%
01/04/2017,4.1%,4.9%,1.4%,1.8%
01/05/2017,2.9%,4.3%,1.3%,1.8%
01/06/2017,2.6%,4.2%,1.3%,1.8%
01/07/2017,2.7%,4.5%,1.5%,1.8%
01/08/2017,3.2%,4.9%,1.2%,1.6%
01/09/2017,2.6%,4.7%,0.9%,1.6%
01/10/2017,2.3%,5.1%,0.8%,1.5%
01/11/2017,1.2%,4.3%,0.6%,1.4%
01/12/2017,0.9%,4.6%,0.4%,1.2%
01/01/2018,0.9%,4.3%,0.2%,1.1%
01/02/2018,0.2%,4.4%,0.1%,1.1%
01/03/2018,-0.6%,4.0%,0.1%,1.1%
01/04/2018,-0.5%,3.3%,0.0%,1.0%
01/05/2018,-0.5%,3.1%,-0.2%,1.0%
01/06/2018,0.0%,2.9%,-0.2%,1.0%
01/07/2018,-0.8%,2.9%,-0.3%,0.9%
01/08/2018,-1.5%,2.7%,-0.3%,0.9%
01/09/2018,-1.5%,2.9%,-0.2%,0.9%
01/10/2018,-0.4%,2.7%,-0.2%,0.9%
01/11/2018,-0.4%,2.6%,0.0%,0.9%
01/12/2018,-0.8%,2.0%,0.2%,1.0%
01/01/2019,-2.0%,1.7%,0.1%,1.0%
01/02/2019,-2.5%,1.2%,0.2%,1.1%
01/03/2019,-1.7%,1.5%,0.5%,1.2%
01/04/2019,-1.6%,1.3%,0.5%,1.2%
01/05/2019,-3.1%,1.0%,0.9%,1.3%
01/06/2019,-2.0%,0.7%,0.9%,1.3%
01/07/2019,-1.3%,0.6%,0.9%,1.3%
01/08/2019,-1.4%,0.6%,0.8%,1.3%
01/09/2019,0.1%,0.9%,0.9%,1.3%
01/10/2019,-1.5%,0.7%,0.9%,1.3%
01/11/2019,-1.2%,0.8%,1.0%,1.4%
01/12/2019,1.2%,0.9%,1.2%,1.4%
01/01/2020,1.3%,1.6%,1.3%,1.5%
01/02/2020,1.8%,1.3%,1.1%,1.4%
01/03/2020,4.0%,2.5%,1.2%,1.4%
01/04/2020,1.4%,0.7%,1.3%,1.5%
01/05/2020,2.1%,1.1%,1.2%,1.5%
01/06/2020,2.0%,2.0%,1.2%,1.5%
01/07/2020,1.1%,1.7%,1.1%,1.4%
01/08/2020,3.5%,2.4%,1.3%,1.5%
01/09/2020,3.4%,3.4%,1.2%,1.5%
01/10/2020,2.9%,4.6%,0.9%,1.4%
01/11/2020,5.5%,6.0%,1.1%,1.4%
01/12/2020,3.1%,7.0%,0.9%,1.4%
01/01/2021,4.9%,7.7%,0.8%,1.3%
01/02/2021,3.4%,8.2%,0.8%,1.3%
01/03/2021,3.6%,8.9%,0.5%,1.3%
01/04/2021,3.2%,8.6%,0.1%,1.2%
01/05/2021,2.8%,8.5%,-0.1%,1.2%
01/06/2021,5.4%,13.2%,-0.1%,1.2%
01/07/2021,2.9%,6.9%,-0.1%,1.3%
01/08/2021,4.3%,9.0%,-0.4%,1.3%
01/09/2021,3.3%,11.4%,-0.3%,1.4%
01/10/2021,4.7%,8.1%,0.1%,1.6%
01/11/2021,3.7%,8.7%,-0.1%,1.7%
01/12/2021,3.5%,8.1%,-0.1%,1.9%
01/01/2022,4.0%,9.2%,0.1%,2.1%
01/02/2022,6.1%,9.2%,0.2%,2.2%
01/03/2022,3.7%,8.0%,0.4%,2.3%
01/04/2022,6.9%,10.7%,1.1%,2.6%
01/05/2022,7.9%,11.6%,1.5%,2.8%
01/06/2022,5.8%,6.4%,1.7%,3.0%
01/07/2022,9.2%,13.8%,2.1%,3.3%
01/08/2022,7.3%,11.5%,2.5%,3.5%
01/09/2022,6.9%,8.5%,2.8%,3.7%
01/10/2022,6.7%,10.6%,3.0%,3.8%
01/11/2022,6.3%,9.0%,3.5%,4.0%
01/12/2022,6.7%,8.1%,4.0%,4.2%
01/01/2023,3.2%,5.0%,4.3%,4.4%
01/02/2023,2.9%,4.3%,4.6%,4.7%
01/03/2023,1.5%,2.8%,4.8%,4.9%
01/04/2023,2.4%,1.9%,5.0%,4.8%
01/05/2023,0.8%,1.0%,5.1%,5.0%
01/06/2023,-0.6%,1.2%,5.3%,5.1%
01/07/2023,-0.8%,0.5%,5.5%,5.3%
01/08/2023,-1.4%,0.8%,5.9%,5.6%
01/09/2023,-1.1%,-0.6%,6.2%,5.7%
01/10/2023,-3.6%,-1.2%,6.8%,6.1%
01/11/2023,-6.0%,-2.1%,6.9%,6.2%
01/12/2023,-4.8%,-1.4%,6.8%,6.2%
01/01/2024,,,0.069,6.2%
